大ジャンル,販売カテゴリ,商品カテゴリ,商品名,ミルクカスタム,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,商品カテゴリ２,タンパク質_偏差値,食物繊維_偏差値,ナトリウム_偏差値,カリウム_偏差値,脂質_偏差値,食塩相当量_偏差値,糖質_偏差値,トランス脂肪酸_偏差値,飽和脂肪酸_偏差値,カフェイン_偏差値,健康偏差値,不健康偏差値
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（アイス）,豆乳（調製豆乳）,247.0,7.3,8.4,35.9,0.5,0.7,35.2,189.0,462.0,0.0,2.8,80.0,エスプレッソ,50.6,45.0,51.7,49.2,46.2,51.8,57.2,42.7,45.3,47.5,49.125,48.45
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（アイス）,アーモンドミルク,223.0,3.2,8.3,35.3,0.5,2.7,32.6,213.0,259.0,0.0,5.7,80.0,エスプレッソ,38.7,58.7,54.9,38.7,46.1,51.8,55.4,42.7,48.1,47.5,47.75,48.6
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（アイス）,オーツミルク,249.0,4.2,7.5,41.7,0.5,1.1,40.6,187.0,284.0,0.0,2.5,80.0,エスプレッソ,41.6,47.7,51.4,40.0,45.6,51.8,61.1,42.7,45.0,47.5,45.175,48.95
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,ホワイト モカ（アイス）,ブレべ,473.0,6.1,32.6,39.1,0.4,0.4,38.7,166.0,400.0,0.3,21.1,80.0,エスプレッソ,47.1,42.9,48.6,46.0,61.8,46.9,59.7,60.1,63.3,47.5,46.15,56.55
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（ホット）,ミルク,223.0,12.5,11.5,17.7,0.3,0.3,17.4,144.0,635.0,0.3,6.7,80.0,エスプレッソ,65.6,42.2,45.7,58.2,48.2,41.9,44.5,60.1,49.1,47.5,52.925,48.55
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（ホット）,低脂肪タイプ,181.0,12.5,6.2,18.9,0.6,0.3,18.5,231.0,699.0,0.2,3.6,80.0,エスプレッソ,65.6,42.2,57.3,61.6,44.7,56.8,45.3,54.3,46.1,47.5,56.675,49.117
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（ホット）,無脂肪乳,139.0,12.5,1.0,20.0,0.8,0.3,19.6,318.0,762.0,0.0,0.5,80.0,エスプレッソ,65.6,42.2,68.9,64.8,41.4,66.7,46.1,42.7,43.0,47.5,60.375,47.9
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（ホット）,豆乳（調製豆乳）,208.0,11.8,13.8,10.0,0.7,1.0,9.0,213.0,661.0,0.0,2.0,80.0,エスプレッソ,63.6,47.0,54.9,59.6,49.7,61.7,38.5,42.7,44.5,47.5,56.275,47.433
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（ホット）,アーモンドミルク,154.0,2.3,13.6,8.5,0.7,5.8,2.7,268.0,185.0,0.0,8.6,80.0,エスプレッソ,36.1,79.9,62.2,34.8,49.5,61.7,34.0,42.7,51.0,47.5,53.25,47.733
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（ホット）,オーツミルク,213.0,4.7,11.5,23.5,0.5,2.0,21.5,207.0,242.0,0.0,1.2,80.0,エスプレッソ,43.0,53.9,54.1,37.8,48.2,51.8,47.4,42.7,43.7,47.5,47.2,46.883
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（ホット）,ブレべ,738.0,9.2,70.4,17.4,0.4,0.3,17.1,158.0,514.0,0.7,44.7,80.0,エスプレッソ,56.1,42.2,47.6,51.9,86.3,46.9,44.3,83.3,86.5,47.5,49.45,65.8
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（アイス）,ミルク,125.0,7.1,6.3,10.2,0.2,0.3,9.9,79.0,404.0,0.2,3.7,80.0,エスプレッソ,50.0,42.2,37.0,46.2,44.8,37.0,39.2,54.3,46.2,47.5,43.85,44.833
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（アイス）,低脂肪タイプ,102.0,7.1,3.4,10.9,0.3,0.3,10.5,127.0,439.0,0.1,2.0,80.0,エスプレッソ,50.0,42.2,43.4,48.0,42.9,41.9,39.6,48.5,44.5,47.5,45.9,44.15
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（アイス）,無脂肪乳,79.0,7.1,0.5,11.5,0.4,0.3,11.1,175.0,474.0,0.0,0.3,80.0,エスプレッソ,50.0,42.2,49.8,49.9,41.0,46.9,40.0,42.7,42.8,47.5,47.975,43.483
ビバレッジ,STARBUCKS COFFEE,エスプレッソ,スターバックス ラテ（アイス）,豆乳（調製豆乳）,117.0,6.7,7.6,6.0,0.4,0.7,5.3,117.0,418.0,0.0,1.1,80.0,エスプレッソ,48.8,45.0,42.1,47.0,45.6,46.9,35.9,42.7,43.6,47.5,45.725,43.7
