大ジャンル,商品カテゴリ,商品名,長方形画像URL,円形画像URL,商品URL,エネルギー,タンパク質,脂質,炭水化物,食塩相当量,食物繊維,糖質,ナトリウム,カリウム,トランス脂肪酸,飽和脂肪酸,カフェイン,お酒の使用
ビバレッジ,エスプレッソ,和三蜜 ムース フォーム アーモンドミルク ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785548541/4524785548541_11_s.jpg,,https://menu.starbucks.co.jp/4524785548541,154kcal,3.3g,10.4g,14.0g,0.6g,-,-,-,-,-,-,-,
ビバレッジ,ティー｜TEAVANA™,ほうじ茶 まろやか キャラメル ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556607/4524785556607_11_s.jpg,,https://menu.starbucks.co.jp/4524785556607,367kcal,13.3g,18.3g,38.1g,0.4g,1.0g,37.1g,184mg,586mg,0.4g,11.1g,37mg,
ビバレッジ,ティー｜TEAVANA™,ストロベリー ラベンダー ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785556645/4524785556645_11_s.jpg,,https://menu.starbucks.co.jp/4524785556645,265kcal,5.5g,11.2g,35.7g,0.3g,0.0g,35.7g,127mg,324mg,0.1g,7.2g,229mg,
ビバレッジ,ティー｜TEAVANA™,ソイ チャイ ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785514560/4524785514560_11_s.jpg,,https://menu.starbucks.co.jp/4524785514560,212kcal,6.4g,7.5g,30.2g,0.4g,0.5g,29.7g,120mg,345mg,0.0g,1.1g,53mg,
ビバレッジ,ティー｜TEAVANA™,ジョイフルメドレー ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785343993/4524785343993_11_s.jpg,,https://menu.starbucks.co.jp/4524785343993,181kcal,6.6g,6.3g,24.7g,0.2g,0.0g,24.7g,85mg,309mg,0.2g,3.7g,50mg,
ビバレッジ,ティー｜TEAVANA™,ジョイフルメドレー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785348035/4524785348035_11_s.jpg,,https://menu.starbucks.co.jp/4524785348035,2kcal,0.0g,0.0g,0.5g,0.01g,0.0g,0.5g,4mg,30mg,0.0g,0.0g,50mg,
ビバレッジ,ティー｜TEAVANA™,ゆず シトラス & ティー,https://asset.menu.starbucks.co.jp/public/sku_images/4524785461154/4524785461154_11_s.jpg,,https://menu.starbucks.co.jp/4524785461154,119kcal,0.2g,0.1g,29.3g,0.01g,0.6g,28.7g,3mg,101mg,0.0g,0.0g,101mg,
ビバレッジ,ティー｜TEAVANA™,チャイ ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785034204/4524785034204_11_s.jpg,,https://menu.starbucks.co.jp/4524785034204,220kcal,6.7g,6.3g,34.4g,0.2g,0.2g,34.2g,82mg,331mg,0.2g,3.7g,53mg,
ビバレッジ,ティー｜TEAVANA™,ほうじ茶 ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785154681/4524785154681_11_s.jpg,,https://menu.starbucks.co.jp/4524785154681,162kcal,6.9g,6.3g,19.5g,0.2g,0.0g,19.5g,80mg,384mg,0.2g,3.7g,68mg,
ビバレッジ,ティー｜TEAVANA™,抹茶 ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785106499/4524785106499_11_s.jpg,,https://menu.starbucks.co.jp/4524785106499,225kcal,7.5g,6.6g,34.7g,0.2g,0.9g,33.8g,80mg,346mg,0.2g,3.7g,78mg,
ビバレッジ,ティー｜TEAVANA™,イングリッシュ ブレックファスト ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785304970/4524785304970_11_s.jpg,,https://menu.starbucks.co.jp/4524785304970,184kcal,6.6g,6.3g,25.1g,0.2g,0.0g,25.1g,80mg,339mg,0.2g,3.7g,101mg,
ビバレッジ,ティー｜TEAVANA™,カモミール ティー ラテ,https://asset.menu.starbucks.co.jp/public/sku_images/4524785305465/4524785305465_11_s.jpg,,https://menu.starbucks.co.jp/4524785305465,179kcal,6.6g,6.3g,24.4g,0.2g,0.0g,24.4g,86mg,301mg,0.2g,3.7g,0mg,
